,x_values,14f,7f,KDE's sum,KDE's top,General KDE
118,59735.871743486976,4.261607143452541e-08,6.934412756438411e-08,1.1196019899890952e-07,6.934412756438411e-08,2.0248417680893418e-08
119,60326.85370741483,2.8816338155716922e-08,4.938835896340113e-08,7.820469711911805e-08,4.938835896340113e-08,1.2603065659813015e-08
120,60917.83567134269,1.9170975744007614e-08,3.46291343014207e-08,5.3800110045428317e-08,3.46291343014207e-08,7.672903169331368e-09
121,61508.81763527055,1.2564933841363199e-08,2.394799369164727e-08,3.651292753301047e-08,2.394799369164727e-08,4.571288368381805e-09
122,62099.799599198406,8.144361059605886e-09,1.6411894126340735e-08,2.4556255185946622e-08,1.6411894126340735e-08,2.6700340640962716e-09
123,62690.781563126264,5.276840611826184e-09,1.1276512813806039e-08,1.6553353425632222e-08,1.1276512813806039e-08,1.5394347731200451e-09
124,63281.76352705411,3.513543330124047e-09,7.980258647472932e-09,1.1493801977596978e-08,7.980258647472932e-09,8.972767938348323e-10
125,63872.745490981964,2.5567350968459224e-09,6.1344344270677245e-09,8.691169523913647e-09,6.1344344270677245e-09,5.689686951102961e-10
126,64463.72745490982,2.2348675226020545e-09,5.514186567642393e-09,7.749054090244448e-09,5.514186567642393e-09,4.593040914724615e-10
127,65054.70941883768,2.4865333697867165e-09,6.053885652708036e-09,8.540419022494754e-09,6.053885652708036e-09,5.355791496688505e-10
128,65645.69138276554,3.3538690421183276e-09,7.849521579546042e-09,1.120339062166437e-08,7.849521579546042e-09,8.216559920084738e-10
129,66236.6733466934,4.985465318782168e-09,1.1169622796095945e-08,1.6155088114878112e-08,1.1169622796095945e-08,1.4028590349741039e-09
130,66827.65531062125,7.648400952343253e-09,1.64751156479238e-08,2.4123516600267053e-08,1.64751156479238e-08,2.442065274943541e-09
131,67418.63727454911,1.1748529890496395e-08,2.444739038310295e-08,3.619592027359935e-08,2.444739038310295e-08,4.207748050582786e-09
132,68009.61923847697,1.785753580389071e-08,3.602259553995321e-08,5.388013134384392e-08,3.602259553995321e-08,7.114802565783687e-09
133,68600.60120240481,2.67444603726242e-08,5.242883055436617e-08,7.917329092699037e-08,5.242883055436617e-08,1.1778473755898788e-08
134,69191.58316633267,3.940841672165989e-08,7.522148955240114e-08,1.1462990627406102e-07,7.522148955240114e-08,1.908040977889954e-08
135,69782.56513026053,5.7108092919999886e-08,1.0631064055610103e-07,1.6341873347610091e-07,1.0631064055610103e-07,3.024364864069649e-08
136,70373.54709418838,8.138258845690847e-08,1.4797319158651187e-07,2.2935578004342034e-07,1.4797319158651187e-07,4.6910239656098666e-08
137,70964.52905811624,1.140573355842287e-07,2.0284194742319696e-07,3.1689928300742565e-07,2.0284194742319696e-07,7.121147159639605e-08
138,71555.5110220441,1.5722860750217147e-07,2.738637755822328e-07,4.310923830844043e-07,2.738637755822328e-07,1.05816888635499e-07
139,72146.49298597196,2.1322067419891024e-07,3.6422023306243656e-07,5.774409072613467e-07,3.6422023306243656e-07,1.5394528662789115e-07
140,72737.4749498998,2.84511237932671e-07,4.77206328165984e-07,7.61717566098655e-07,4.77206328165984e-07,2.1931977008933643e-07
141,73328.45691382766,3.736234362419962e-07,6.160666279788563e-07,9.896900642208526e-07,6.160666279788563e-07,3.060508015657931e-07
142,73919.43887775551,4.829863242691651e-07,7.837924965296286e-07,1.2667788207987937e-06,7.837924965296286e-07,4.1843679508036426e-07
143,74510.42084168337,6.147700036617306e-07,9.828894631353327e-07,1.5976594667970632e-06,9.828894631353327e-07,5.606813814198903e-07
144,75101.40280561123,7.707059089160916e-07,1.215128971191841e-06,1.9858348801079328e-06,1.215128971191841e-06,7.365392912883535e-07
145,75692.38476953909,9.51906508249138e-07,1.4813032993916698e-06,2.433209807640808e-06,1.4813032993916698e-06,9.48917129758888e-07
146,76283.36673346694,1.1587011114622821e-06,1.7810055014480234e-06,2.9397066129103053e-06,1.7810055014480234e-06,1.1994685442721936e-06
